,iid,id,gender,idg,condtn,wave,round,position,positin1,order,partner,pid,match,int_corr,samerace,age_o,race_o,pf_o_att,pf_o_sin,pf_o_int,pf_o_fun,pf_o_amb,pf_o_sha,dec_o,attr_o,sinc_o,intel_o,fun_o,amb_o,shar_o,like_o,prob_o,met_o,age,field,field_cd,race,imprace,imprelig,from,zipcode,goal,date,go_out,career,career_c,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,exphappy,attr1_1,sinc1_1,intel1_1,fun1_1,amb1_1,shar1_1,attr4_1,sinc4_1,intel4_1,fun4_1,amb4_1,shar4_1,attr2_1,sinc2_1,intel2_1,fun2_1,amb2_1,shar2_1,attr3_1,sinc3_1,fun3_1,intel3_1,amb3_1,dec,attr,sinc,intel,fun,amb,shar,like,prob,met,match_es,satis_2,length,numdat_2,attr1_2,sinc1_2,intel1_2,fun1_2,amb1_2,shar1_2,attr4_2,sinc4_2,intel4_2,fun4_2,amb4_2,shar4_2,attr2_2,sinc2_2,intel2_2,fun2_2,amb2_2,shar2_2,attr3_2,sinc3_2,intel3_2,fun3_2,amb3_2
5548,369,9.0,1,18,2,14,20,17,17.0,19,5,345.0,1,0.04,1,24.0,2.0,10.0,20.0,27.0,23.0,15.0,5.0,1,7.0,10.0,8.0,10.0,6.0,5.0,7.0,10.0,2.0,25.0,Clinical Psychology,3.0,2.0,1.0,8.0,"Boston, MA","46,818",2.0,5.0,3.0,"clinical psychologist, researcher, professor",3.0,2.0,6.0,2.0,6.0,7.0,7.0,7.0,1.0,1.0,10.0,3.0,7.0,5.0,6.0,8.0,1.0,1.0,7.0,17.0,18.0,28.0,27.0,5.0,5.0,65.0,0.0,8.0,15.0,0.0,12.0,50.0,5.0,10.0,20.0,5.0,10.0,6.0,9.0,9.0,10.0,7.0,1,10.0,8.0,10.0,8.0,8.0,8.0,9.0,8.0,0.0,5.0,9.0,1.0,2.0,22.0,15.0,20.0,22.0,11.0,10.0,40.0,10.0,10.0,15.0,5.0,20.0,30.0,10.0,10.0,20.0,10.0,20.0,7.0,9.0,10.0,9.0,7.0
5555,369,9.0,1,18,2,14,20,12,12.0,14,12,352.0,1,0.3,0,29.0,6.0,20.0,20.0,20.0,10.0,10.0,20.0,1,7.0,7.0,7.0,9.0,7.0,8.0,8.0,7.0,2.0,25.0,Clinical Psychology,3.0,2.0,1.0,8.0,"Boston, MA","46,818",2.0,5.0,3.0,"clinical psychologist, researcher, professor",3.0,2.0,6.0,2.0,6.0,7.0,7.0,7.0,1.0,1.0,10.0,3.0,7.0,5.0,6.0,8.0,1.0,1.0,7.0,17.0,18.0,28.0,27.0,5.0,5.0,65.0,0.0,8.0,15.0,0.0,12.0,50.0,5.0,10.0,20.0,5.0,10.0,6.0,9.0,9.0,10.0,7.0,1,7.0,10.0,9.0,6.0,6.0,3.0,6.0,8.0,0.0,5.0,9.0,1.0,2.0,22.0,15.0,20.0,22.0,11.0,10.0,40.0,10.0,10.0,15.0,5.0,20.0,30.0,10.0,10.0,20.0,10.0,20.0,7.0,9.0,10.0,9.0,7.0
5557,369,9.0,1,18,2,14,20,19,19.0,1,14,354.0,1,0.22,1,22.0,2.0,20.0,10.0,20.0,20.0,20.0,10.0,1,5.0,10.0,8.0,10.0,6.0,10.0,8.0,10.0,2.0,25.0,Clinical Psychology,3.0,2.0,1.0,8.0,"Boston, MA","46,818",2.0,5.0,3.0,"clinical psychologist, researcher, professor",3.0,2.0,6.0,2.0,6.0,7.0,7.0,7.0,1.0,1.0,10.0,3.0,7.0,5.0,6.0,8.0,1.0,1.0,7.0,17.0,18.0,28.0,27.0,5.0,5.0,65.0,0.0,8.0,15.0,0.0,12.0,50.0,5.0,10.0,20.0,5.0,10.0,6.0,9.0,9.0,10.0,7.0,1,10.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,5.0,9.0,1.0,2.0,22.0,15.0,20.0,22.0,11.0,10.0,40.0,10.0,10.0,15.0,5.0,20.0,30.0,10.0,10.0,20.0,10.0,20.0,7.0,9.0,10.0,9.0,7.0
5563,369,9.0,1,18,2,14,20,1,1.0,3,20,360.0,1,0.38,0,24.0,6.0,20.0,30.0,10.0,10.0,10.0,20.0,1,6.0,7.0,7.0,7.0,6.0,6.0,6.0,5.0,1.0,25.0,Clinical Psychology,3.0,2.0,1.0,8.0,"Boston, MA","46,818",2.0,5.0,3.0,"clinical psychologist, researcher, professor",3.0,2.0,6.0,2.0,6.0,7.0,7.0,7.0,1.0,1.0,10.0,3.0,7.0,5.0,6.0,8.0,1.0,1.0,7.0,17.0,18.0,28.0,27.0,5.0,5.0,65.0,0.0,8.0,15.0,0.0,12.0,50.0,5.0,10.0,20.0,5.0,10.0,6.0,9.0,9.0,10.0,7.0,1,7.0,10.0,10.0,8.0,5.0,4.0,5.0,5.0,0.0,5.0,9.0,1.0,2.0,22.0,15.0,20.0,22.0,11.0,10.0,40.0,10.0,10.0,15.0,5.0,20.0,30.0,10.0,10.0,20.0,10.0,20.0,7.0,9.0,10.0,9.0,7.0
5584,371,11.0,1,22,2,14,20,5,5.0,4,1,341.0,1,-0.23,0,23.0,4.0,20.0,20.0,20.0,20.0,20.0,0.0,1,6.0,5.0,6.0,5.0,6.0,5.0,5.0,3.0,2.0,27.0,MBA,8.0,2.0,3.0,1.0,Chicago,"60,521",5.0,7.0,1.0,Intl Development,9.0,10.0,7.0,7.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,5.0,3.0,6.0,10.0,10.0,1.0,7.0,6.0,40.0,0.0,10.0,50.0,0.0,0.0,30.0,10.0,20.0,20.0,20.0,0.0,15.0,15.0,15.0,15.0,20.0,20.0,10.0,8.0,10.0,10.0,10.0,1,8.0,7.0,7.0,7.0,4.0,5.0,8.0,10.0,0.0,7.0,3.0,3.0,2.0,50.0,2.0,2.0,40.0,2.0,4.0,50.0,2.0,2.0,40.0,2.0,2.0,40.0,10.0,4.0,2.0,40.0,4.0,10.0,10.0,10.0,10.0,10.0
5597,371,11.0,1,22,2,14,20,19,19.0,18,14,354.0,1,0.43,1,22.0,2.0,20.0,10.0,20.0,20.0,20.0,10.0,1,9.0,10.0,10.0,10.0,10.0,9.0,9.0,8.0,2.0,27.0,MBA,8.0,2.0,3.0,1.0,Chicago,"60,521",5.0,7.0,1.0,Intl Development,9.0,10.0,7.0,7.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,5.0,3.0,6.0,10.0,10.0,1.0,7.0,6.0,40.0,0.0,10.0,50.0,0.0,0.0,30.0,10.0,20.0,20.0,20.0,0.0,15.0,15.0,15.0,15.0,20.0,20.0,10.0,8.0,10.0,10.0,10.0,1,6.0,8.0,7.0,10.0,7.0,10.0,8.0,10.0,0.0,7.0,3.0,3.0,2.0,50.0,2.0,2.0,40.0,2.0,4.0,50.0,2.0,2.0,40.0,2.0,2.0,40.0,10.0,4.0,2.0,40.0,4.0,10.0,10.0,10.0,10.0,10.0
5603,371,11.0,1,22,2,14,20,1,1.0,20,20,360.0,1,0.37,0,24.0,6.0,20.0,30.0,10.0,10.0,10.0,20.0,1,8.0,7.0,6.0,6.0,6.0,7.0,9.0,6.0,2.0,27.0,MBA,8.0,2.0,3.0,1.0,Chicago,"60,521",5.0,7.0,1.0,Intl Development,9.0,10.0,7.0,7.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,5.0,3.0,6.0,10.0,10.0,1.0,7.0,6.0,40.0,0.0,10.0,50.0,0.0,0.0,30.0,10.0,20.0,20.0,20.0,0.0,15.0,15.0,15.0,15.0,20.0,20.0,10.0,8.0,10.0,10.0,10.0,1,7.0,7.0,8.0,2.0,5.0,7.0,7.0,10.0,0.0,7.0,3.0,3.0,2.0,50.0,2.0,2.0,40.0,2.0,4.0,50.0,2.0,2.0,40.0,2.0,2.0,40.0,10.0,4.0,2.0,40.0,4.0,10.0,10.0,10.0,10.0,10.0
5617,372,12.0,1,24,2,14,20,19,19.0,13,14,354.0,1,0.54,1,22.0,2.0,20.0,10.0,20.0,20.0,20.0,10.0,1,4.0,8.0,7.0,7.0,6.0,6.0,6.0,6.0,2.0,27.0,Business,8.0,2.0,9.0,7.0,Midwest USA,"66,208",2.0,5.0,2.0,undecided,10.0,9.0,10.0,8.0,9.0,9.0,9.0,7.0,4.0,2.0,9.0,6.0,8.0,6.0,7.0,7.0,4.0,2.0,5.0,30.0,15.0,15.0,20.0,5.0,15.0,40.0,15.0,10.0,20.0,0.0,15.0,30.0,10.0,15.0,10.0,20.0,15.0,7.0,8.0,8.0,9.0,8.0,1,7.0,7.0,6.0,7.0,7.0,8.0,8.0,7.0,0.0,3.0,5.0,1.0,2.0,40.0,15.0,15.0,15.0,5.0,10.0,45.0,15.0,5.0,15.0,5.0,15.0,40.0,10.0,10.0,10.0,20.0,10.0,7.0,8.0,9.0,9.0,8.0
5660,374,14.0,1,28,2,14,20,6,6.0,12,17,357.0,1,-0.01,1,27.0,4.0,15.0,20.0,20.0,20.0,20.0,5.0,1,5.0,8.0,8.0,6.0,8.0,6.0,6.0,7.0,2.0,30.0,BUSINESS CONSULTING,8.0,4.0,6.0,6.0,SOUTH KOREA,"135,110",2.0,4.0,2.0,CONSULTING,7.0,10.0,10.0,8.0,7.0,8.0,8.0,5.0,5.0,6.0,5.0,6.0,9.0,10.0,9.0,8.0,4.0,4.0,7.0,50.0,10.0,10.0,10.0,5.0,15.0,35.0,20.0,20.0,10.0,5.0,10.0,60.0,10.0,10.0,10.0,5.0,5.0,6.0,7.0,6.0,7.0,7.0,1,10.0,8.0,7.0,6.0,7.0,8.0,10.0,9.0,0.0,2.0,6.0,1.0,2.0,60.0,10.0,5.0,10.0,10.0,5.0,60.0,10.0,10.0,5.0,10.0,5.0,50.0,10.0,10.0,10.0,10.0,10.0,7.0,7.0,7.0,6.0,6.0
5683,375,15.0,1,30,2,14,20,1,1.0,2,20,360.0,1,-0.27,0,24.0,6.0,20.0,30.0,10.0,10.0,10.0,20.0,1,9.0,5.0,6.0,6.0,5.0,3.0,6.0,4.0,2.0,27.0,MBA,8.0,2.0,3.0,2.0,Yugoslavia,0,1.0,3.0,1.0,Private Equity,1.0,9.0,8.0,5.0,8.0,4.0,4.0,2.0,2.0,7.0,5.0,6.0,5.0,6.0,3.0,6.0,7.0,3.0,5.0,30.0,20.0,15.0,15.0,8.0,12.0,23.0,15.0,15.0,15.0,27.0,5.0,30.0,10.0,10.0,15.0,25.0,10.0,8.0,9.0,9.0,8.0,9.0,1,4.0,9.0,9.0,7.0,8.0,5.0,6.0,7.0,0.0,6.0,4.0,3.0,2.0,35.0,12.0,10.0,20.0,5.0,18.0,40.0,10.0,5.0,20.0,5.0,20.0,25.0,15.0,15.0,15.0,20.0,10.0,8.0,9.0,8.0,9.0,9.0
5707,377,17.0,1,34,2,14,20,9,9.0,1,4,344.0,1,0.3,0,26.0,3.0,15.0,15.0,15.0,20.0,20.0,15.0,1,6.0,7.0,7.0,7.0,6.0,8.0,7.0,7.0,2.0,26.0,business school,8.0,4.0,3.0,2.0,new york,"7,039",1.0,5.0,1.0,investment management,7.0,7.0,9.0,6.0,6.0,3.0,3.0,1.0,7.0,8.0,6.0,8.0,5.0,8.0,7.0,8.0,6.0,2.0,6.0,25.0,20.0,10.0,20.0,15.0,10.0,45.0,10.0,5.0,30.0,5.0,5.0,20.0,25.0,20.0,20.0,10.0,5.0,7.0,8.0,8.0,7.0,7.0,1,8.0,8.0,8.0,7.0,6.0,5.0,7.0,6.0,0.0,2.0,5.0,3.0,2.0,20.0,20.0,20.0,30.0,20.0,10.0,20.0,20.0,20.0,20.0,20.0,20.0,16.67,16.67,16.67,16.67,16.67,16.67,7.0,9.0,8.0,7.0,8.0
5808,382,4.0,0,7,2,15,19,17,17.0,1,8,404.0,1,-0.16,1,23.0,2.0,25.0,14.0,25.0,25.0,3.0,8.0,1,7.0,7.0,7.0,5.0,5.0,5.0,8.0,4.0,2.0,28.0,Film,14.0,2.0,8.0,1.0,New York City,"10,028",2.0,7.0,3.0,Filmmaker,6.0,6.0,5.0,10.0,10.0,9.0,9.0,6.0,8.0,3.0,8.0,10.0,8.0,10.0,9.0,9.0,9.0,1.0,6.0,25.0,25.0,25.0,10.0,10.0,5.0,80.0,0.0,10.0,10.0,0.0,0.0,80.0,0.0,10.0,10.0,0.0,0.0,7.0,7.0,7.0,7.0,10.0,1,8.0,8.0,8.0,6.0,8.0,4.0,6.0,5.0,2.0,3.0,5.0,3.0,3.0,20.0,20.0,20.0,20.0,10.0,10.0,20.0,20.0,20.0,20.0,10.0,10.0,60.0,5.0,5.0,10.0,10.0,10.0,6.0,6.0,6.0,6.0,6.0
5812,382,4.0,0,7,2,15,19,17,17.0,11,12,408.0,1,0.43,0,24.0,3.0,20.0,10.0,20.0,20.0,10.0,20.0,1,8.0,7.0,7.0,8.0,6.0,6.0,6.0,9.0,2.0,28.0,Film,14.0,2.0,8.0,1.0,New York City,"10,028",2.0,7.0,3.0,Filmmaker,6.0,6.0,5.0,10.0,10.0,9.0,9.0,6.0,8.0,3.0,8.0,10.0,8.0,10.0,9.0,9.0,9.0,1.0,6.0,25.0,25.0,25.0,10.0,10.0,5.0,80.0,0.0,10.0,10.0,0.0,0.0,80.0,0.0,10.0,10.0,0.0,0.0,7.0,7.0,7.0,7.0,10.0,1,7.0,6.0,6.0,8.0,6.0,8.0,7.0,5.0,2.0,3.0,5.0,3.0,3.0,20.0,20.0,20.0,20.0,10.0,10.0,20.0,20.0,20.0,20.0,10.0,10.0,60.0,5.0,5.0,10.0,10.0,10.0,6.0,6.0,6.0,6.0,6.0
5849,384,6.0,0,11,2,15,19,16,16.0,12,11,407.0,1,0.44,1,24.0,2.0,30.0,15.0,15.0,15.0,15.0,10.0,1,7.0,7.0,8.0,9.0,6.0,7.0,6.0,6.0,2.0,23.0,Education,9.0,2.0,9.0,6.0,Connecticut,"6,019",2.0,5.0,3.0,Undecided,10.0,8.0,5.0,7.0,9.0,10.0,10.0,3.0,3.0,7.0,6.0,7.0,10.0,10.0,5.0,6.0,6.0,3.0,8.0,20.0,20.0,20.0,20.0,20.0,0.0,25.0,15.0,15.0,10.0,20.0,15.0,20.0,20.0,10.0,20.0,20.0,10.0,8.0,8.0,9.0,8.0,9.0,1,9.0,10.0,10.0,7.0,9.0,9.0,9.0,8.0,2.0,10.0,7.0,1.0,3.0,20.0,20.0,20.0,20.0,10.0,10.0,40.0,20.0,20.0,20.0,0.0,0.0,40.0,10.0,10.0,20.0,10.0,10.0,7.0,7.0,8.0,9.0,8.0
5854,384,6.0,0,11,2,15,19,16,16.0,15,16,412.0,1,0.14,1,27.0,2.0,75.0,5.0,5.0,5.0,5.0,5.0,1,8.0,8.0,8.0,7.0,8.0,8.0,8.0,8.0,2.0,23.0,Education,9.0,2.0,9.0,6.0,Connecticut,"6,019",2.0,5.0,3.0,Undecided,10.0,8.0,5.0,7.0,9.0,10.0,10.0,3.0,3.0,7.0,6.0,7.0,10.0,10.0,5.0,6.0,6.0,3.0,8.0,20.0,20.0,20.0,20.0,20.0,0.0,25.0,15.0,15.0,10.0,20.0,15.0,20.0,20.0,10.0,20.0,20.0,10.0,8.0,8.0,9.0,8.0,9.0,1,8.0,10.0,10.0,10.0,10.0,7.0,7.0,8.0,2.0,10.0,7.0,1.0,3.0,20.0,20.0,20.0,20.0,10.0,10.0,40.0,20.0,20.0,20.0,0.0,0.0,40.0,10.0,10.0,20.0,10.0,10.0,7.0,7.0,8.0,9.0,8.0
5906,387,9.0,0,17,2,15,19,13,13.0,9,11,407.0,1,0.24,1,24.0,2.0,30.0,15.0,15.0,15.0,15.0,10.0,1,8.0,8.0,8.0,8.0,7.0,6.0,7.0,7.0,2.0,25.0,School Psychology,3.0,2.0,5.0,2.0,New Jersey,"7,069",2.0,7.0,2.0,School Psychologist,3.0,5.0,5.0,8.0,8.0,6.0,6.0,4.0,3.0,8.0,7.0,7.0,8.0,8.0,7.0,7.0,8.0,2.0,6.0,20.0,15.0,25.0,15.0,15.0,10.0,20.0,15.0,25.0,15.0,15.0,10.0,30.0,15.0,20.0,15.0,10.0,10.0,8.0,8.0,8.0,8.0,8.0,1,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,2.0,8.0,8.0,1.0,2.0,25.0,10.0,15.0,20.0,15.0,15.0,25.0,15.0,15.0,15.0,10.0,20.0,25.0,15.0,20.0,15.0,15.0,10.0,7.0,7.0,7.0,7.0,7.0
5910,387,9.0,0,17,2,15,19,13,13.0,13,15,411.0,1,0.26,1,34.0,2.0,35.0,15.0,15.0,25.0,10.0,0.0,1,10.0,10.0,8.0,10.0,6.0,5.0,7.0,6.0,2.0,25.0,School Psychology,3.0,2.0,5.0,2.0,New Jersey,"7,069",2.0,7.0,2.0,School Psychologist,3.0,5.0,5.0,8.0,8.0,6.0,6.0,4.0,3.0,8.0,7.0,7.0,8.0,8.0,7.0,7.0,8.0,2.0,6.0,20.0,15.0,25.0,15.0,15.0,10.0,20.0,15.0,25.0,15.0,15.0,10.0,30.0,15.0,20.0,15.0,10.0,10.0,8.0,8.0,8.0,8.0,8.0,1,8.0,9.0,9.0,8.0,9.0,8.0,8.0,7.0,2.0,8.0,8.0,1.0,2.0,25.0,10.0,15.0,20.0,15.0,15.0,25.0,15.0,15.0,15.0,10.0,20.0,25.0,15.0,20.0,15.0,15.0,10.0,7.0,7.0,7.0,7.0,7.0
5911,387,9.0,0,17,2,15,19,13,13.0,12,16,412.0,1,-0.09,1,27.0,2.0,75.0,5.0,5.0,5.0,5.0,5.0,1,9.0,8.0,7.0,9.0,9.0,8.0,7.0,8.0,2.0,25.0,School Psychology,3.0,2.0,5.0,2.0,New Jersey,"7,069",2.0,7.0,2.0,School Psychologist,3.0,5.0,5.0,8.0,8.0,6.0,6.0,4.0,3.0,8.0,7.0,7.0,8.0,8.0,7.0,7.0,8.0,2.0,6.0,20.0,15.0,25.0,15.0,15.0,10.0,20.0,15.0,25.0,15.0,15.0,10.0,30.0,15.0,20.0,15.0,10.0,10.0,8.0,8.0,8.0,8.0,8.0,1,7.0,7.0,8.0,8.0,8.0,7.0,7.0,7.0,2.0,8.0,8.0,1.0,2.0,25.0,10.0,15.0,20.0,15.0,15.0,25.0,15.0,15.0,15.0,10.0,20.0,25.0,15.0,20.0,15.0,15.0,10.0,7.0,7.0,7.0,7.0,7.0
5938,389,11.0,0,21,2,15,19,2,2.0,8,5,401.0,1,0.47,1,31.0,2.0,35.0,0.0,25.0,20.0,0.0,20.0,1,7.0,5.0,7.0,7.0,7.0,3.0,6.0,7.0,2.0,21.0,Law,1.0,2.0,1.0,1.0,Florida and Virginia,"33,414",2.0,3.0,1.0,attorney?,1.0,7.0,8.0,5.0,8.0,7.0,7.0,10.0,2.0,1.0,10.0,7.0,8.0,8.0,10.0,10.0,7.0,8.0,7.0,20.0,30.0,20.0,20.0,0.0,10.0,50.0,0.0,10.0,15.0,15.0,10.0,50.0,0.0,10.0,15.0,15.0,10.0,8.0,10.0,9.0,7.0,5.0,1,7.0,10.0,10.0,2.0,8.0,3.0,7.0,7.0,2.0,7.0,7.0,1.0,2.0,10.0,50.0,15.0,15.0,0.0,10.0,25.0,5.0,15.0,25.0,15.0,15.0,40.0,0.0,10.0,30.0,0.0,20.0,8.0,10.0,8.0,10.0,6.0
5945,389,11.0,0,21,2,15,19,2,2.0,15,12,408.0,1,0.32,0,24.0,3.0,20.0,10.0,20.0,20.0,10.0,20.0,1,7.0,7.0,8.0,8.0,7.0,8.0,7.0,8.0,2.0,21.0,Law,1.0,2.0,1.0,1.0,Florida and Virginia,"33,414",2.0,3.0,1.0,attorney?,1.0,7.0,8.0,5.0,8.0,7.0,7.0,10.0,2.0,1.0,10.0,7.0,8.0,8.0,10.0,10.0,7.0,8.0,7.0,20.0,30.0,20.0,20.0,0.0,10.0,50.0,0.0,10.0,15.0,15.0,10.0,50.0,0.0,10.0,15.0,15.0,10.0,8.0,10.0,9.0,7.0,5.0,1,9.0,10.0,10.0,10.0,10.0,10.0,9.0,10.0,2.0,7.0,7.0,1.0,2.0,10.0,50.0,15.0,15.0,0.0,10.0,25.0,5.0,15.0,25.0,15.0,15.0,40.0,0.0,10.0,30.0,0.0,20.0,8.0,10.0,8.0,10.0,6.0
6010,393,15.0,0,29,2,15,19,3,3.0,19,1,397.0,1,0.08,1,24.0,2.0,20.0,21.0,21.0,22.0,6.0,10.0,1,6.0,9.0,8.0,8.0,8.0,7.0,7.0,6.0,2.0,22.0,Writing: Literary Nonfiction,6.0,2.0,4.0,8.0,Long Island,"11,733",1.0,7.0,1.0,Writing or Editorial,6.0,3.0,2.0,3.0,5.0,9.0,9.0,4.0,3.0,4.0,9.0,6.0,7.0,8.0,7.0,7.0,5.0,4.0,6.0,8.0,20.0,25.0,25.0,12.0,10.0,10.0,20.0,25.0,20.0,15.0,10.0,18.0,18.0,18.0,18.0,5.0,13.0,7.0,9.0,8.0,8.0,8.0,1,8.0,8.0,8.0,8.0,7.0,7.0,8.0,7.0,2.0,2.5,7.0,1.0,3.0,12.0,20.0,20.0,20.0,8.0,20.0,17.0,17.0,17.0,17.0,15.0,17.0,25.0,15.0,20.0,15.0,10.0,15.0,7.0,8.0,8.0,8.0,7.0
6019,393,15.0,0,29,2,15,19,3,3.0,5,10,406.0,1,0.29,0,27.0,4.0,20.0,20.0,20.0,20.0,20.0,0.0,1,5.0,7.0,6.0,6.0,4.0,7.0,6.0,5.0,2.0,22.0,Writing: Literary Nonfiction,6.0,2.0,4.0,8.0,Long Island,"11,733",1.0,7.0,1.0,Writing or Editorial,6.0,3.0,2.0,3.0,5.0,9.0,9.0,4.0,3.0,4.0,9.0,6.0,7.0,8.0,7.0,7.0,5.0,4.0,6.0,8.0,20.0,25.0,25.0,12.0,10.0,10.0,20.0,25.0,20.0,15.0,10.0,18.0,18.0,18.0,18.0,5.0,13.0,7.0,9.0,8.0,8.0,8.0,1,8.0,8.0,8.0,8.0,7.0,7.0,8.0,7.0,2.0,2.5,7.0,1.0,3.0,12.0,20.0,20.0,20.0,8.0,20.0,17.0,17.0,17.0,17.0,15.0,17.0,25.0,15.0,20.0,15.0,10.0,15.0,7.0,8.0,8.0,8.0,7.0
6078,396,18.0,0,35,2,15,19,6,6.0,19,12,408.0,1,0.28,0,24.0,3.0,20.0,10.0,20.0,20.0,10.0,20.0,1,5.0,8.0,9.0,8.0,8.0,7.0,8.0,8.0,1.0,25.0,Theatre Management & Producing,15.0,4.0,1.0,5.0,Hawaii and Los Angeles,"96,701",2.0,7.0,2.0,producer at a non-profit regional theatre,6.0,3.0,8.0,7.0,10.0,10.0,10.0,7.0,7.0,7.0,10.0,9.0,10.0,10.0,10.0,10.0,7.0,7.0,4.0,15.0,18.0,18.0,18.0,15.0,16.0,16.0,15.0,18.0,18.0,18.0,15.0,20.0,15.0,15.0,18.0,14.0,18.0,8.0,10.0,10.0,10.0,8.0,1,8.0,9.0,9.0,9.0,8.0,6.0,8.0,5.0,1.0,3.0,7.0,1.0,2.0,16.0,18.0,18.0,16.0,14.0,18.0,17.0,16.0,16.0,18.0,15.0,18.0,18.0,15.0,16.0,18.0,15.0,18.0,8.0,9.0,9.0,9.0,8.0
6100,397,1.0,1,2,2,15,18,3,4.0,18,15,393.0,1,0.08,1,22.0,2.0,8.0,20.0,25.0,25.0,12.0,10.0,1,8.0,8.0,8.0,8.0,7.0,7.0,8.0,7.0,2.0,24.0,Law,1.0,2.0,3.0,2.0,New Jersey,"7,675",2.0,5.0,2.0,Lawyer,1.0,9.0,8.0,8.0,6.0,7.0,7.0,6.0,2.0,6.0,7.0,5.0,7.0,8.0,4.0,7.0,5.0,1.0,6.0,20.0,21.0,21.0,22.0,6.0,10.0,27.0,18.0,14.0,25.0,5.0,9.0,18.0,28.0,17.0,23.0,6.0,8.0,7.0,7.0,7.0,10.0,9.0,1,6.0,9.0,8.0,8.0,8.0,7.0,7.0,6.0,2.0,7.0,8.0,1.0,3.0,19.0,20.0,20.0,20.0,10.0,11.0,16.0,20.0,19.0,17.0,18.0,10.0,17.0,19.0,19.0,19.0,17.0,11.0,7.0,8.0,10.0,7.0,9.0
6168,401,5.0,1,10,2,15,18,2,14.0,7,11,389.0,1,0.47,1,21.0,2.0,20.0,30.0,20.0,20.0,0.0,10.0,1,7.0,10.0,10.0,2.0,8.0,3.0,7.0,7.0,2.0,31.0,Business,8.0,2.0,1.0,1.0,Germany,"10,025",2.0,4.0,1.0,Consulting,7.0,10.0,1.0,4.0,8.0,8.0,8.0,8.0,2.0,5.0,5.0,1.0,8.0,8.0,10.0,10.0,7.0,3.0,9.0,35.0,0.0,25.0,20.0,0.0,20.0,30.0,10.0,20.0,20.0,0.0,20.0,25.0,10.0,30.0,10.0,0.0,25.0,8.0,5.0,7.0,10.0,5.0,1,7.0,5.0,7.0,7.0,7.0,3.0,6.0,7.0,2.0,6.0,2.0,3.0,3.0,50.0,0.0,25.0,20.0,0.0,5.0,30.0,10.0,20.0,25.0,0.0,15.0,20.0,20.0,20.0,20.0,0.0,20.0,8.0,5.0,10.0,7.0,5.0
6215,404,8.0,1,16,2,15,18,17,17.0,1,4,382.0,1,-0.16,1,28.0,2.0,25.0,25.0,25.0,10.0,10.0,5.0,1,8.0,8.0,8.0,6.0,8.0,4.0,6.0,5.0,2.0,23.0,Financial Engineering,5.0,2.0,1.0,4.0,France,"78,230",2.0,5.0,2.0,Investment Banking,7.0,10.0,5.0,8.0,10.0,8.0,8.0,9.0,7.0,9.0,8.0,4.0,5.0,8.0,7.0,8.0,6.0,3.0,7.0,25.0,14.0,25.0,25.0,3.0,8.0,27.0,10.0,20.0,25.0,4.0,14.0,10.0,16.0,24.0,24.0,20.0,6.0,6.0,9.0,7.0,8.0,8.0,1,7.0,7.0,7.0,5.0,5.0,5.0,8.0,4.0,2.0,6.0,5.0,1.0,3.0,27.0,10.0,25.0,25.0,6.0,7.0,30.0,12.0,14.0,20.0,12.0,12.0,30.0,20.0,20.0,20.0,10.0,10.0,7.0,9.0,9.0,8.0,8.0
6262,406,10.0,1,20,2,15,18,3,18.0,4,15,393.0,1,0.29,0,22.0,2.0,8.0,20.0,25.0,25.0,12.0,10.0,1,8.0,8.0,8.0,8.0,7.0,7.0,8.0,7.0,2.0,27.0,Business,8.0,4.0,1.0,1.0,Minneapolis,"400,051",1.0,6.0,2.0,Finance,7.0,4.0,6.0,8.0,9.0,6.0,7.0,8.0,6.0,6.0,7.0,7.0,8.0,9.0,7.0,10.0,2.0,1.0,6.0,20.0,20.0,20.0,20.0,20.0,0.0,40.0,0.0,20.0,30.0,0.0,10.0,20.0,20.0,20.0,20.0,20.0,0.0,6.0,7.0,8.0,8.0,9.0,1,5.0,7.0,6.0,6.0,4.0,7.0,6.0,5.0,2.0,2.0,7.0,3.0,3.0,20.0,20.0,20.0,20.0,10.0,10.0,40.0,10.0,20.0,20.0,5.0,5.0,20.0,20.0,25.0,25.0,15.0,0.0,6.0,7.0,8.0,7.0,8.0
